Date,Reading,Video
4/10/17,693,498
4/11/17,684,488
4/12/17,693,466
4/13/17,708,461
4/14/17,691,450
4/15/17,738,479
4/16/17,721,459
4/17/17,688,464
4/18/17,758,480
4/19/17,61,39
4/2/17,695,464
4/3/17,697,481
4/4/17,667,470
4/5/17,718,492
4/6/17,723,470
4/7/17,685,473
4/8/17,690,451
4/9/17,660,445
